,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,789,itn_irs,False,True,15
1,9998,0,2,0,1863,2770,4633,16747,21.5,2.3,0,False,True,789,itn_irs,False,True,15
2,9998,0,2,0,1563,2325,3888,23467,22.3,0.0,0,False,True,789,itn_irs,False,True,15
3,9997,1,2,0,1311,1975,3286,26108,22.3,0.0,0,False,True,789,itn_irs,False,True,15
4,9997,1,2,0,1117,1689,2806,25261,21.8,0.0,0,False,True,789,itn_irs,False,True,15
5,9997,1,2,0,947,1440,2387,23266,21.6,0.0,0,False,True,789,itn_irs,False,True,15
6,9997,1,2,0,793,1214,2007,20823,19.5,0.2,0,False,True,789,itn_irs,False,True,15
7,9997,0,3,0,670,1039,1709,18163,20.1,1.7,0,False,True,789,itn_irs,False,True,15
8,9997,0,1,2,568,859,1427,15906,21.8,0.3,0,False,True,789,itn_irs,False,True,15
9,9997,0,1,2,471,720,1191,13847,21.7,0.0,0,False,True,789,itn_irs,False,True,15
10,9997,0,1,2,400,610,1010,12455,21.0,0.0,0,False,True,789,itn_irs,False,True,15
11,9997,0,1,2,324,507,831,10429,19.8,7.2,3,False,True,789,itn_irs,False,True,15
12,9997,0,1,2,272,423,695,9976,21.2,8.0,7,False,True,789,itn_irs,False,True,15
13,9997,0,1,2,224,364,588,9922,20.1,5.1,9,False,True,789,itn_irs,False,True,15
14,9997,0,1,2,204,305,509,9384,20.6,3.5,9,False,True,789,itn_irs,False,True,15
15,9997,0,0,3,181,253,434,9072,21.0,1.7,9,False,True,789,itn_irs,False,True,15
16,9997,0,0,3,201,225,426,9076,20.8,3.8,9,False,True,789,itn_irs,False,True,15
17,9997,0,0,3,213,195,408,8704,21.9,0.5,9,False,True,789,itn_irs,False,True,15
18,9997,0,0,3,222,191,413,7866,21.3,0.3,9,False,True,789,itn_irs,False,True,15
19,9997,0,0,3,242,171,413,7408,21.9,0.1,6,False,True,789,itn_irs,False,True,15
20,9998,0,0,2,258,153,411,5863,24.0,0.0,2,False,True,789,itn_irs,False,True,15
21,9998,0,0,2,312,155,467,5073,23.1,0.3,0,False,True,789,itn_irs,False,True,15
22,9998,0,0,2,320,142,462,4779,21.4,1.6,0,False,True,789,itn_irs,False,True,15
23,9998,0,0,2,317,138,455,4265,22.8,0.0,0,False,True,789,itn_irs,False,True,15
24,9998,0,0,2,305,125,430,4262,21.2,3.8,0,False,True,789,itn_irs,False,True,15
25,9998,0,0,2,295,121,416,3745,22.3,0.0,0,False,True,789,itn_irs,False,True,15
26,9998,0,0,2,251,199,450,4739,22.4,52.3,26,False,True,789,itn_irs,False,True,15
27,9998,0,0,2,232,168,400,5090,22.4,0.0,26,False,True,789,itn_irs,False,True,15
28,9998,0,0,2,222,160,382,5462,21.3,24.9,38,False,True,789,itn_irs,False,True,15
29,9998,0,0,2,205,140,345,5787,21.2,0.0,38,False,True,789,itn_irs,False,True,15
30,9998,0,0,2,195,112,307,6019,19.9,8.1,42,False,True,789,itn_irs,False,True,15
31,9998,0,0,2,177,98,275,5984,21.1,0.0,42,False,True,789,itn_irs,False,True,15
32,9998,0,0,2,160,87,247,5907,21.1,0.4,42,False,True,789,itn_irs,False,True,15
33,9998,0,0,2,152,81,233,5708,23.0,0.0,42,False,True,789,itn_irs,False,True,15
34,9998,0,0,2,156,71,227,5554,22.4,0.0,16,False,True,789,itn_irs,False,True,15
35,9998,0,0,2,165,61,226,4891,21.6,9.9,20,False,True,789,itn_irs,False,True,15
36,9998,0,0,2,178,56,234,4383,21.2,0.8,8,False,True,789,itn_irs,False,True,15
37,9998,0,0,2,215,136,351,4693,20.1,50.0,33,False,True,789,itn_irs,False,True,15
38,9998,0,0,2,290,120,410,5217,19.9,7.5,32,False,True,789,itn_irs,False,True,15
39,9998,0,0,2,247,107,354,5719,19.6,21.2,42,False,True,789,itn_irs,False,True,15
40,9998,0,0,2,289,96,385,5979,21.3,0.0,42,False,True,789,itn_irs,False,True,15
41,9998,0,0,2,348,107,455,6085,21.0,2.4,42,False,True,789,itn_irs,False,True,15
42,9998,0,0,2,361,98,459,6317,22.8,0.0,42,False,True,789,itn_irs,False,True,15
43,9998,0,0,2,435,105,540,6925,22.9,0.0,38,False,True,789,itn_irs,False,True,15
44,9998,0,0,2,445,98,543,7219,20.7,5.5,40,False,True,789,itn_irs,False,True,15
45,9998,0,0,2,455,87,542,7984,21.7,2.0,15,False,True,789,itn_irs,False,True,15
46,9998,0,0,2,448,78,526,7551,21.2,1.0,12,False,True,789,itn_irs,False,True,15
47,9998,0,0,2,432,73,505,7193,23.2,0.0,2,False,True,789,itn_irs,False,True,15
48,9998,0,0,2,406,66,472,7095,22.7,7.2,5,False,True,789,itn_irs,False,True,15
49,9998,0,0,2,393,53,446,6837,21.7,2.0,5,False,True,789,itn_irs,False,True,15
50,9998,0,0,2,379,48,427,7458,20.6,10.9,10,False,True,789,itn_irs,False,True,15
51,9998,0,0,2,356,58,414,7021,20.8,1.2,10,False,True,789,itn_irs,False,True,15
52,9998,0,0,2,395,54,449,6760,22.5,0.0,8,False,True,789,itn_irs,False,True,15
53,9998,0,0,2,403,55,458,6823,22.8,5.8,10,False,True,789,itn_irs,False,True,15
54,9998,0,0,2,404,57,461,7258,21.4,16.4,18,False,True,789,itn_irs,False,True,15
55,9998,0,0,2,391,56,447,7515,21.5,7.8,21,False,True,789,itn_irs,False,True,15
56,9998,0,0,2,403,53,456,7686,22.8,0.0,18,False,True,789,itn_irs,False,True,15
57,9998,0,0,2,444,125,569,8737,20.5,49.0,42,False,True,789,itn_irs,False,True,15
58,9998,0,0,2,445,112,557,9157,20.5,8.9,41,False,True,789,itn_irs,False,True,15
59,9998,0,0,2,479,102,581,9223,21.3,8.3,45,False,True,789,itn_irs,False,True,15
60,9998,0,0,2,507,91,598,9443,20.0,18.6,54,False,True,789,itn_irs,False,True,15
61,9998,0,0,2,531,78,609,9399,20.5,8.3,56,False,True,789,itn_irs,False,True,15
62,9998,0,0,2,548,70,618,9958,20.6,5.0,50,False,True,789,itn_irs,False,True,15
63,9998,0,0,2,560,65,625,10493,21.6,0.8,47,False,True,789,itn_irs,False,True,15
64,9998,0,0,2,585,55,640,10803,20.7,5.1,49,False,True,789,itn_irs,False,True,15
65,9998,0,0,2,497,42,539,11004,20.2,14.0,32,False,True,789,itn_irs,False,True,15
66,9998,0,0,2,500,30,530,10740,20.4,3.3,28,False,True,789,itn_irs,False,True,15
67,9998,0,0,2,526,35,561,11010,21.8,0.0,24,False,True,789,itn_irs,False,True,15
68,9998,0,0,2,541,27,568,10910,21.1,0.0,15,False,True,789,itn_irs,False,True,15
69,9998,0,0,2,597,24,621,10667,22.1,4.1,11,False,True,789,itn_irs,False,True,15
70,9998,0,0,2,601,27,628,11385,21.1,11.0,14,False,True,789,itn_irs,False,True,15
71,9998,0,0,2,614,26,640,11883,21.4,0.8,14,False,True,789,itn_irs,False,True,15
72,9998,0,0,2,679,48,727,11668,21.7,0.3,12,False,True,789,itn_irs,False,True,15
73,9998,0,0,2,701,51,752,12422,20.9,17.0,13,False,True,789,itn_irs,False,True,15
74,9998,0,0,2,691,50,741,12853,22.7,0.0,13,False,True,789,itn_irs,False,True,15
75,9997,1,0,2,742,51,793,13346,21.0,1.5,13,False,True,789,itn_irs,False,True,15
76,9997,1,0,2,961,60,1021,13741,22.6,0.0,13,False,True,789,itn_irs,False,True,15
77,9997,1,0,2,1006,61,1067,14164,21.8,4.3,13,False,True,789,itn_irs,False,True,15
78,9997,1,0,2,1023,134,1157,15639,22.6,50.0,33,False,True,789,itn_irs,False,True,15
79,9997,0,1,2,1016,113,1129,16091,21.4,3.9,33,False,True,789,itn_irs,False,True,15
80,9997,0,1,2,987,92,1079,17331,21.7,2.4,33,False,True,789,itn_irs,False,True,15
81,9997,0,1,2,995,80,1075,17896,23.9,0.0,25,False,True,789,itn_irs,False,True,15
82,9997,0,1,2,1006,68,1074,18506,21.7,4.5,25,False,True,789,itn_irs,False,True,15
83,9997,0,1,2,974,57,1031,18672,22.8,1.0,25,False,True,789,itn_irs,False,True,15
84,9997,0,1,2,1039,49,1088,19791,22.3,7.1,28,False,True,789,itn_irs,False,True,15
85,9997,0,1,2,1107,45,1152,19124,21.6,0.0,28,False,True,789,itn_irs,False,True,15
86,9997,0,1,2,1143,46,1189,19506,20.8,13.9,9,False,True,789,itn_irs,False,True,15
87,9997,0,0,3,1140,46,1186,20642,21.2,15.5,16,False,True,789,itn_irs,False,True,15
88,9997,0,0,3,1158,44,1202,21511,22.0,0.8,16,False,True,789,itn_irs,False,True,15
89,9997,0,0,3,1221,36,1257,22090,21.8,0.0,16,False,True,789,itn_irs,False,True,15
90,9997,0,0,3,1285,33,1318,22731,22.1,3.0,16,False,True,789,itn_irs,False,True,15
91,9997,0,0,3,1432,38,1470,23738,21.9,19.7,25,False,False,789,itn_irs,False,True,15
92,9997,0,0,3,1686,54,1740,25372,21.7,11.8,27,False,False,789,itn_irs,False,True,15
93,9997,0,0,3,1842,146,1988,26553,21.3,61.0,57,False,False,789,itn_irs,False,True,15
94,9997,0,0,3,2053,141,2194,28061,21.4,4.0,51,False,False,789,itn_irs,False,True,15
95,9997,0,0,3,2167,133,2300,30928,22.7,0.0,44,False,False,789,itn_irs,False,True,15
96,9997,0,0,3,2289,132,2421,32815,21.2,19.1,53,False,False,789,itn_irs,False,True,15
97,9997,0,0,3,2393,127,2520,33988,22.2,8.9,57,False,False,789,itn_irs,False,True,15
98,9997,0,0,3,2539,131,2670,36140,21.6,23.7,68,False,False,789,itn_irs,False,True,15
99,9997,0,0,3,2708,122,2830,38336,23.0,0.0,59,False,False,789,itn_irs,False,True,15
100,9996,1,0,3,2797,114,2911,41933,23.2,0.0,54,False,False,789,itn_irs,False,True,15
101,9996,1,0,3,2953,112,3065,46032,21.8,4.7,24,False,False,789,itn_irs,False,True,15
102,9996,1,0,3,3068,99,3167,49547,21.7,1.7,24,False,False,789,itn_irs,False,True,15
103,9996,1,0,3,3155,187,3342,53334,23.3,52.3,50,False,False,789,itn_irs,False,True,15
104,9996,0,1,3,3279,174,3453,56486,23.2,0.0,41,False,False,789,itn_irs,False,True,15
105,9996,0,1,3,3424,168,3592,59207,22.4,8.7,41,False,False,789,itn_irs,False,True,15
106,9996,0,1,3,3630,154,3784,62101,20.4,2.0,30,False,False,789,itn_irs,False,True,15
107,9996,0,1,3,3870,156,4026,65259,21.5,4.1,30,False,False,789,itn_irs,False,True,15
108,9996,0,1,3,4219,161,4380,69499,19.4,0.0,30,False,False,789,itn_irs,False,True,15
109,9996,0,1,3,4532,166,4698,74225,20.3,19.1,39,False,False,789,itn_irs,False,True,15
110,9996,0,1,3,4956,222,5178,79984,20.2,37.1,57,False,False,789,itn_irs,False,True,15
111,9996,0,1,3,5378,242,5620,81317,19.0,31.1,46,False,False,789,itn_irs,False,True,15
