,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,789,ambas,True,True,16
1,9998,0,2,0,1863,2770,4633,16747,21.5,2.3,0,False,True,789,ambas,True,True,16
2,9998,0,2,0,1563,2325,3888,23467,22.3,0.0,0,False,True,789,ambas,True,True,16
3,9997,1,2,0,1311,1975,3286,26108,22.3,0.0,0,False,True,789,ambas,True,True,16
4,9997,1,2,0,1117,1689,2806,25261,21.8,0.0,0,False,True,789,ambas,True,True,16
5,9997,1,2,0,947,1440,2387,23266,21.6,0.0,0,False,True,789,ambas,True,True,16
6,9997,1,2,0,793,1214,2007,20823,19.5,0.2,0,False,True,789,ambas,True,True,16
7,9997,0,3,0,670,1039,1709,8069,20.1,1.7,0,True,True,789,ambas,True,True,16
8,9997,0,1,2,568,859,1427,9585,21.8,0.3,0,True,True,789,ambas,True,True,16
9,9997,0,1,2,471,720,1191,9899,21.7,0.0,0,True,True,789,ambas,True,True,16
10,9997,0,1,2,400,610,1010,9933,21.0,0.0,0,True,True,789,ambas,True,True,16
11,9997,0,1,2,324,507,831,8863,19.8,7.2,3,True,True,789,ambas,True,True,16
12,9997,0,1,2,272,423,695,8776,21.2,8.0,7,True,True,789,ambas,True,True,16
13,9997,0,1,2,224,364,588,8960,20.1,5.1,9,True,True,789,ambas,True,True,16
14,9997,0,1,2,204,305,509,3726,20.6,3.5,9,True,True,789,ambas,True,True,16
15,9997,0,0,3,177,255,432,4425,21.0,1.7,9,True,True,789,ambas,True,True,16
16,9997,0,0,3,150,219,369,4985,20.8,3.8,9,True,True,789,ambas,True,True,16
17,9997,0,0,3,132,185,317,5069,21.9,0.5,9,True,True,789,ambas,True,True,16
18,9997,0,0,3,126,158,284,4961,21.3,0.3,9,True,True,789,ambas,True,True,16
19,9997,0,0,3,123,142,265,4631,21.9,0.1,6,True,True,789,ambas,True,True,16
20,9997,0,0,3,116,115,231,3745,24.0,0.0,2,True,True,789,ambas,True,True,16
21,9997,0,0,3,119,105,224,1344,23.1,0.3,0,True,True,789,ambas,True,True,16
22,9997,0,0,3,111,85,196,1350,21.4,1.6,0,True,True,789,ambas,True,True,16
23,9997,0,0,3,99,65,164,1404,22.8,0.0,0,True,True,789,ambas,True,True,16
24,9997,0,0,3,90,61,151,1650,21.2,3.8,0,True,True,789,ambas,True,True,16
25,9997,0,0,3,82,56,138,1353,22.3,0.0,0,True,True,789,ambas,True,True,16
26,9997,0,0,3,74,132,206,2116,22.4,52.3,26,True,True,789,ambas,True,True,16
27,9997,0,0,3,74,117,191,2342,22.4,0.0,26,True,True,789,ambas,True,True,16
28,9997,0,0,3,62,108,170,1011,21.3,24.9,38,True,True,789,ambas,True,True,16
29,9997,0,0,3,57,89,146,1440,21.2,0.0,38,True,True,789,ambas,True,True,16
30,9997,0,0,3,51,75,126,1718,19.9,8.1,42,True,True,789,ambas,True,True,16
31,9997,0,0,3,43,59,102,1904,21.1,0.0,42,True,True,789,ambas,True,True,16
32,9997,0,0,3,35,50,85,1977,21.1,0.4,42,True,True,789,ambas,True,True,16
33,9997,0,0,3,30,40,70,1899,23.0,0.0,42,True,True,789,ambas,True,True,16
34,9997,0,0,3,26,37,63,1849,22.4,0.0,16,True,True,789,ambas,True,True,16
35,9997,0,0,3,28,31,59,708,21.6,9.9,20,True,True,789,ambas,True,True,16
36,9997,0,0,3,24,28,52,746,21.2,0.8,8,True,True,789,ambas,True,True,16
37,9997,0,0,3,25,114,139,1058,20.1,50.0,33,True,True,789,ambas,True,True,16
