date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-03-21 00:00:00,21.4,16.3,26,3.9,,,6.1,,1013.2,
2022-03-22 00:00:00,21.7,15.7,28,2.4,,,7.4,,1012.6,
2022-03-23 00:00:00,23.9,19.2,28,0,,,6.8,,1013,
2022-03-24 00:00:00,21.7,16.6,27.2,4.5,,,7.4,,1013.1,
2022-03-25 00:00:00,22.8,17.2,28.1,1,,,6.3,,1013.3,
2022-03-26 00:00:00,22.3,18.2,27,7.1,,,7.1,,1013.3,
2022-03-27 00:00:00,21.6,18.9,26.1,0,,,4.6,,1014.2,
2022-03-28 00:00:00,20.8,16.4,24,13.9,,,6.6,,1014.8,
2022-03-29 00:00:00,21.2,16.5,27,15.5,,,7.9,,1014.3,
2022-03-30 00:00:00,22,18.5,27.6,0.8,,,7.5,,1013.6,
2022-03-31 00:00:00,21.8,18.8,26.7,0,,,6.4,,1012.9,
2022-04-01 00:00:00,22.1,18.6,26.9,3,,,7.8,,1014.2,
2022-04-02 00:00:00,21.9,16.9,27,19.7,,,6.8,,1014.7,
2022-04-03 00:00:00,21.7,17,28,11.8,,,8.9,,1013.2,
2022-04-04 00:00:00,21.3,16.7,28.9,61,,,11.6,,1013.4,
2022-04-05 00:00:00,21.4,16.4,28,4,,,11.6,,1013.6,
2022-04-06 00:00:00,22.7,19,28.2,0,,,7.4,,1012.8,
2022-04-07 00:00:00,21.2,17.2,27.3,19.1,,,5.8,,1013.9,
2022-04-08 00:00:00,22.2,18.1,26.8,8.9,,,5.7,,1014.3,
2022-04-09 00:00:00,21.6,16.5,27,23.7,,,7.2,,1014.1,
2022-04-10 00:00:00,23,19.1,27.4,0,,,7.5,,1013.6,
2022-04-11 00:00:00,23.2,19,26.6,0,,,7.8,,1013.3,
2022-04-12 00:00:00,21.8,16.1,27.1,4.7,,,7.3,,1012.6,
2022-04-13 00:00:00,21.7,16.6,29,1.7,,,7.6,,1012.6,
2022-04-14 00:00:00,23.3,19.5,28.7,52.3,,,7.1,,1012.6,
2022-04-15 00:00:00,23.2,17,28.4,0,,,8.6,,1013.1,
2022-04-16 00:00:00,22.4,19.7,28,8.7,,,7.2,,1013.1,
2022-04-17 00:00:00,20.4,18,25.9,2,,,7.3,,1014,
2022-04-18 00:00:00,21.5,18.1,24.3,4.1,,,5.4,,1014.6,
2022-04-19 00:00:00,19.4,14,25.1,0,,,4.5,,1016.6,
2022-04-20 00:00:00,20.3,17.8,24.4,19.1,,,5.4,,1016.5,
2022-04-21 00:00:00,20.2,17.6,23.9,37.1,,,6,,1016.8,
2022-04-22 00:00:00,19,16.5,26,31.1,,,6.5,,1016.3,
2022-04-23 00:00:00,20.3,15.9,26,1.8,,,7.9,,1014.9,
2022-04-24 00:00:00,21.9,17.7,26.3,0,,,6.3,,1013.3,
2022-04-25 00:00:00,19.7,17,26.7,4.7,,,6.1,,1014.9,
2022-04-26 00:00:00,21,15.9,26,8.6,,,7.7,,1014.6,
2022-04-27 00:00:00,22.9,18.6,26.4,0,,,6.9,,1013.7,
2022-04-28 00:00:00,20.6,18.7,27.1,2,,,6.5,,1013.9,
2022-04-29 00:00:00,21.3,16,27.2,3.9,,,6.8,,1013.7,
2022-04-30 00:00:00,22.5,19.6,28.4,2,,,6.5,,1013.6,
2022-05-01 00:00:00,22.4,18.5,27.7,8.9,,,8.3,,1013.9,
2022-05-02 00:00:00,22.5,17.2,28.4,0,,,5.7,,1014.9,
2022-05-03 00:00:00,22.8,17.4,28,0,,,8.8,,1014.2,
2022-05-04 00:00:00,22.9,17.6,29,2.2,,,8,,1013.4,
2022-05-05 00:00:00,22,19.8,28.9,2,,,6.2,,1015.7,
2022-05-06 00:00:00,20.7,17.3,25.3,4.1,,,6.8,,1017,
2022-05-07 00:00:00,19.9,16.8,23,1.4,,,6.8,,1016.6,
2022-05-08 00:00:00,21.1,16.6,26,0.5,,,6,,1015.1,
2022-05-09 00:00:00,21.8,17,27.8,7.1,,,8.1,,1013.8,
2022-05-10 00:00:00,22.2,18.5,28,0.3,,,7.6,,1014,
2022-05-11 00:00:00,21.7,17.5,26.8,10.9,,,7,,1014,
2022-05-12 00:00:00,22,17.8,26.6,5.1,,,7.8,,1013.4,
2022-05-13 00:00:00,21.8,17.2,27.3,5.3,,,7.2,,1013.6,
2022-05-14 00:00:00,22.3,19.9,27.9,0,,,4.8,,1014.2,
2022-05-15 00:00:00,21.5,17.4,26,3,,,7.2,,1014.4,
2022-05-16 00:00:00,23.3,19.4,27.4,2,,,7,,1015,
2022-05-17 00:00:00,22.6,19.4,27.1,1,,,7.3,,1016.6,
2022-05-18 00:00:00,21.2,19.5,26.2,0,,,5,,1017.5,
2022-05-19 00:00:00,20.7,16.7,25,6.9,,,7,,1016.4,
2022-05-20 00:00:00,22.2,17.9,25.7,0,,,8.8,,1017.1,
2022-05-21 00:00:00,21.5,16.5,26.7,3.2,,,7.3,,1018.1,
2022-05-22 00:00:00,22.2,16.9,29,7,,,7.6,,1016.9,
2022-05-23 00:00:00,23.9,19.9,29.1,0.5,,,7.9,,1014.9,
2022-05-24 00:00:00,22.5,19,28.3,7.9,,,7.3,,1013.9,
2022-05-25 00:00:00,20.5,17.1,24.1,6,,,7.2,,1014.7,
2022-05-26 00:00:00,21.1,17.3,26.1,,,,7,,1015.9,
2022-05-27 00:00:00,21.8,18.8,27.6,1,,,,,,
2022-05-28 00:00:00,22.1,16.5,26.1,0,,,7.6,,1014,
2022-05-29 00:00:00,20.7,16.9,27,15.3,,,7,,1013.6,
2022-05-30 00:00:00,22.7,18.9,27.4,0.8,,,8.4,,1013.7,
2022-05-31 00:00:00,21.9,18.4,27.6,1,,,7,,1015,
2022-06-01 00:00:00,22.1,15.5,26.3,0.3,,,10.2,,1014.2,
