,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,42,ambas,True,True,4
1,9998,0,2,0,1856,2786,4642,16636,21.5,2.3,0,False,True,42,ambas,True,True,4
2,9998,0,2,0,1571,2370,3941,24260,22.3,0.0,0,False,True,42,ambas,True,True,4
3,9997,1,2,0,1330,2017,3347,25687,22.3,0.0,0,False,True,42,ambas,True,True,4
4,9997,1,2,0,1128,1722,2850,26194,21.8,0.0,0,False,True,42,ambas,True,True,4
5,9996,2,2,0,964,1470,2434,24348,21.6,0.0,0,False,True,42,ambas,True,True,4
6,9996,2,2,0,810,1225,2035,21429,19.5,0.2,0,False,True,42,ambas,True,True,4
7,9996,1,3,0,662,1045,1707,8295,20.1,1.7,0,True,True,42,ambas,True,True,4
8,9996,1,1,2,577,899,1476,9700,21.8,0.3,0,True,True,42,ambas,True,True,4
9,9995,1,2,2,487,749,1236,10100,21.7,0.0,0,True,True,42,ambas,True,True,4
10,9995,1,2,2,419,634,1053,10181,21.0,0.0,0,True,True,42,ambas,True,True,4
11,9995,1,2,2,361,528,889,9699,19.8,7.2,3,True,True,42,ambas,True,True,4
12,9995,1,2,2,305,439,744,9754,21.2,8.0,7,True,True,42,ambas,True,True,4
13,9995,0,3,2,261,378,639,9504,20.1,5.1,9,True,True,42,ambas,True,True,4
14,9995,0,3,2,227,316,543,3760,20.6,3.5,9,True,True,42,ambas,True,True,4
15,9995,0,2,3,198,278,476,4788,21.0,1.7,9,True,True,42,ambas,True,True,4
16,9995,0,2,3,180,247,427,5422,20.8,3.8,9,True,True,42,ambas,True,True,4
17,9995,0,1,4,167,210,377,6091,21.9,0.5,9,True,True,42,ambas,True,True,4
18,9995,0,1,4,160,183,343,5914,21.3,0.3,9,True,True,42,ambas,True,True,4
19,9994,1,1,4,147,160,307,5796,21.9,0.1,6,True,True,42,ambas,True,True,4
20,9994,1,1,4,140,136,276,4488,24.0,0.0,2,True,True,42,ambas,True,True,4
21,9993,2,0,5,136,122,258,1721,23.1,0.3,0,True,True,42,ambas,True,True,4
22,9993,2,0,5,121,105,226,1797,21.4,1.6,0,True,True,42,ambas,True,True,4
23,9993,1,1,5,112,93,205,1856,22.8,0.0,0,True,True,42,ambas,True,True,4
24,9993,1,1,5,102,84,186,1708,21.2,3.8,0,True,True,42,ambas,True,True,4
25,9993,0,2,5,91,70,161,1562,22.3,0.0,0,True,True,42,ambas,True,True,4
26,9993,0,2,5,81,146,227,2165,22.4,52.3,26,True,True,42,ambas,True,True,4
27,9993,0,2,5,71,130,201,2487,22.4,0.0,26,True,True,42,ambas,True,True,4
28,9993,0,2,5,62,122,184,1182,21.3,24.9,38,True,True,42,ambas,True,True,4
