,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,123,itn_irs,False,True,7
1,9998,0,2,0,1858,2788,4646,16872,21.5,2.3,0,False,True,123,itn_irs,False,True,7
2,9998,0,2,0,1593,2379,3972,24259,22.3,0.0,0,False,True,123,itn_irs,False,True,7
3,9998,0,2,0,1367,2033,3400,26376,22.3,0.0,0,False,True,123,itn_irs,False,True,7
4,9997,1,2,0,1156,1728,2884,25839,21.8,0.0,0,False,True,123,itn_irs,False,True,7
5,9997,1,2,0,995,1447,2442,23855,21.6,0.0,0,False,True,123,itn_irs,False,True,7
6,9997,1,2,0,871,1250,2121,22187,19.5,0.2,0,False,True,123,itn_irs,False,True,7
7,9997,1,2,0,734,1063,1797,19228,20.1,1.7,0,False,True,123,itn_irs,False,True,7
8,9997,0,1,2,612,894,1506,16541,21.8,0.3,0,False,True,123,itn_irs,False,True,7
9,9997,0,1,2,521,754,1275,14457,21.7,0.0,0,False,True,123,itn_irs,False,True,7
10,9997,0,1,2,435,642,1077,12816,21.0,0.0,0,False,True,123,itn_irs,False,True,7
11,9997,0,1,2,382,540,922,10753,19.8,7.2,3,False,True,123,itn_irs,False,True,7
12,9997,0,1,2,326,469,795,11031,21.2,8.0,7,False,True,123,itn_irs,False,True,7
13,9997,0,1,2,283,397,680,11039,20.1,5.1,9,False,True,123,itn_irs,False,True,7
14,9997,0,1,2,225,340,565,10631,20.6,3.5,9,False,True,123,itn_irs,False,True,7
15,9997,0,1,2,204,278,482,10332,21.0,1.7,9,False,True,123,itn_irs,False,True,7
16,9997,0,0,3,195,258,453,10335,20.8,3.8,9,False,True,123,itn_irs,False,True,7
17,9997,0,0,3,206,222,428,10457,21.9,0.5,9,False,True,123,itn_irs,False,True,7
18,9997,0,0,3,219,205,424,9399,21.3,0.3,9,False,True,123,itn_irs,False,True,7
19,9997,0,0,3,252,193,445,8621,21.9,0.1,6,False,True,123,itn_irs,False,True,7
20,9997,0,0,3,273,176,449,6805,24.0,0.0,2,False,True,123,itn_irs,False,True,7
21,9998,0,0,2,352,167,519,5921,23.1,0.3,0,False,True,123,itn_irs,False,True,7
22,9998,0,0,2,339,147,486,5314,21.4,1.6,0,False,True,123,itn_irs,False,True,7
23,9998,0,0,2,337,129,466,4870,22.8,0.0,0,False,True,123,itn_irs,False,True,7
24,9998,0,0,2,334,120,454,4729,21.2,3.8,0,False,True,123,itn_irs,False,True,7
25,9998,0,0,2,297,105,402,4204,22.3,0.0,0,False,True,123,itn_irs,False,True,7
26,9998,0,0,2,285,171,456,5429,22.4,52.3,26,False,True,123,itn_irs,False,True,7
27,9998,0,0,2,261,149,410,6276,22.4,0.0,26,False,True,123,itn_irs,False,True,7
28,9998,0,0,2,253,139,392,6774,21.3,24.9,38,False,True,123,itn_irs,False,True,7
29,9998,0,0,2,230,119,349,6967,21.2,0.0,38,False,True,123,itn_irs,False,True,7
30,9998,0,0,2,224,113,337,6941,19.9,8.1,42,False,True,123,itn_irs,False,True,7
31,9998,0,0,2,217,100,317,6874,21.1,0.0,42,False,True,123,itn_irs,False,True,7
32,9998,0,0,2,196,84,280,6795,21.1,0.4,42,False,True,123,itn_irs,False,True,7
33,9998,0,0,2,201,79,280,6649,23.0,0.0,42,False,True,123,itn_irs,False,True,7
34,9998,0,0,2,204,75,279,6857,22.4,0.0,16,False,True,123,itn_irs,False,True,7
35,9998,0,0,2,213,67,280,6249,21.6,9.9,20,False,True,123,itn_irs,False,True,7
36,9998,0,0,2,235,63,298,5726,21.2,0.8,8,False,True,123,itn_irs,False,True,7
37,9998,0,0,2,257,146,403,6208,20.1,50.0,33,False,True,123,itn_irs,False,True,7
38,9997,1,0,2,310,126,436,6638,19.9,7.5,32,False,True,123,itn_irs,False,True,7
39,9997,1,0,2,252,111,363,6712,19.6,21.2,42,False,True,123,itn_irs,False,True,7
40,9997,1,0,2,297,92,389,6998,21.3,0.0,42,False,True,123,itn_irs,False,True,7
41,9997,1,0,2,369,98,467,7406,21.0,2.4,42,False,True,123,itn_irs,False,True,7
42,9997,0,1,2,432,92,524,8007,22.8,0.0,42,False,True,123,itn_irs,False,True,7
