,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,789,sin_control,False,False,13
1,9998,0,2,0,1863,2770,4633,16747,21.5,2.3,0,False,False,789,sin_control,False,False,13
2,9998,0,2,0,1725,2557,4282,23617,22.3,0.0,0,False,False,789,sin_control,False,False,13
3,9997,1,2,0,1602,2371,3973,28123,22.3,0.0,0,False,False,789,sin_control,False,False,13
4,9997,1,2,0,1468,2190,3658,29625,21.8,0.0,0,False,False,789,sin_control,False,False,13
5,9997,1,2,0,1354,2016,3370,29326,21.6,0.0,0,False,False,789,sin_control,False,False,13
6,9997,1,2,0,1241,1855,3096,28177,19.5,0.2,0,False,False,789,sin_control,False,False,13
7,9997,0,3,0,1153,1708,2861,26302,20.1,1.7,0,False,False,789,sin_control,False,False,13
8,9996,1,1,2,1072,1560,2632,25429,21.8,0.3,0,False,False,789,sin_control,False,False,13
9,9996,1,1,2,993,1449,2442,23998,21.7,0.0,0,False,False,789,sin_control,False,False,13
10,9996,1,1,2,902,1355,2257,22323,21.0,0.0,0,False,False,789,sin_control,False,False,13
11,9995,2,1,2,841,1255,2096,21795,19.8,7.2,3,False,False,789,sin_control,False,False,13
12,9995,1,2,2,765,1150,1915,22941,21.2,8.0,7,False,False,789,sin_control,False,False,13
13,9995,1,2,2,698,1059,1757,23914,20.1,5.1,9,False,False,789,sin_control,False,False,13
14,9995,1,2,2,650,996,1646,24102,20.6,3.5,9,False,False,789,sin_control,False,False,13
15,9995,0,2,3,607,925,1532,25381,21.0,1.7,9,False,False,789,sin_control,False,False,13
16,9995,0,2,3,587,867,1454,26283,20.8,3.8,9,False,False,789,sin_control,False,False,13
17,9995,0,2,3,596,816,1412,26457,21.9,0.5,9,False,False,789,sin_control,False,False,13
18,9995,0,2,3,613,766,1379,24746,21.3,0.3,9,False,False,789,sin_control,False,False,13
19,9995,0,2,3,643,723,1366,23392,21.9,0.1,6,False,False,789,sin_control,False,False,13
20,9994,1,1,4,668,681,1349,18539,24.0,0.0,2,False,False,789,sin_control,False,False,13
21,9994,1,1,4,807,679,1486,16326,23.1,0.3,0,False,False,789,sin_control,False,False,13
22,9994,1,1,4,857,660,1517,14925,21.4,1.6,0,False,False,789,sin_control,False,False,13
23,9994,1,0,5,903,634,1537,14340,22.8,0.0,0,False,False,789,sin_control,False,False,13
24,9993,1,1,5,909,605,1514,14195,21.2,3.8,0,False,False,789,sin_control,False,False,13
25,9993,1,1,5,937,567,1504,13705,22.3,0.0,0,False,False,789,sin_control,False,False,13
26,9993,1,1,5,934,622,1556,16887,22.4,52.3,26,False,False,789,sin_control,False,False,13
27,9994,1,1,4,923,592,1515,19478,22.4,0.0,26,False,False,789,sin_control,False,False,13
28,9994,0,2,4,902,577,1479,21650,21.3,24.9,38,False,False,789,sin_control,False,False,13
29,9994,0,2,4,890,545,1435,22698,21.2,0.0,38,False,False,789,sin_control,False,False,13
30,9994,0,2,4,878,519,1397,24043,19.9,8.1,42,False,False,789,sin_control,False,False,13
31,9994,0,2,4,852,493,1345,25407,21.1,0.0,42,False,False,789,sin_control,False,False,13
32,9994,0,1,5,835,467,1302,25912,21.1,0.4,42,False,False,789,sin_control,False,False,13
33,9994,0,1,5,848,451,1299,26067,23.0,0.0,42,False,False,789,sin_control,False,False,13
34,9994,0,1,5,860,420,1280,25824,22.4,0.0,16,False,False,789,sin_control,False,False,13
35,9994,0,1,5,915,418,1333,24345,21.6,9.9,20,False,False,789,sin_control,False,False,13
36,9994,0,0,6,1015,406,1421,23168,21.2,0.8,8,False,False,789,sin_control,False,False,13
37,9994,0,0,6,1143,501,1644,24839,20.1,50.0,33,False,False,789,sin_control,False,False,13
38,9994,0,0,6,1399,502,1901,27121,19.9,7.5,32,False,False,789,sin_control,False,False,13
39,9994,0,0,6,1291,469,1760,28869,19.6,21.2,42,False,False,789,sin_control,False,False,13
40,9994,0,0,6,1539,483,2022,30362,21.3,0.0,42,False,False,789,sin_control,False,False,13
41,9994,0,0,6,1729,552,2281,32613,21.0,2.4,42,False,False,789,sin_control,False,False,13
42,9994,0,0,6,1994,537,2531,35731,22.8,0.0,42,False,False,789,sin_control,False,False,13
43,9993,1,0,6,2499,630,3129,40684,22.9,0.0,38,False,False,789,sin_control,False,False,13
44,9994,1,0,5,2709,639,3348,45580,20.7,5.5,40,False,False,789,sin_control,False,False,13
45,9994,1,0,5,2932,652,3584,49528,21.7,2.0,15,False,False,789,sin_control,False,False,13
46,9994,1,0,5,3089,657,3746,50345,21.2,1.0,12,False,False,789,sin_control,False,False,13
47,9993,1,1,5,3172,655,3827,50508,23.2,0.0,2,False,False,789,sin_control,False,False,13
48,9992,2,1,5,3233,626,3859,51215,22.7,7.2,5,False,False,789,sin_control,False,False,13
49,9991,3,1,5,3309,627,3936,52293,21.7,2.0,5,False,False,789,sin_control,False,False,13
50,9991,3,1,5,3358,610,3968,57020,20.6,10.9,10,False,False,789,sin_control,False,False,13
51,9991,2,2,5,3445,628,4073,57372,20.8,1.2,10,False,False,789,sin_control,False,False,13
52,9991,1,3,5,3575,602,4177,57718,22.5,0.0,8,False,False,789,sin_control,False,False,13
53,9991,0,4,5,3607,630,4237,61954,22.8,5.8,10,False,False,789,sin_control,False,False,13
54,9991,0,4,5,3745,617,4362,65090,21.4,16.4,18,False,False,789,sin_control,False,False,13
55,9990,1,3,6,3898,600,4498,69640,21.5,7.8,21,False,False,789,sin_control,False,False,13
56,9990,1,3,6,4108,577,4685,73693,22.8,0.0,18,False,False,789,sin_control,False,False,13
57,9990,1,3,6,4485,663,5148,78404,20.5,49.0,42,False,False,789,sin_control,False,False,13
58,9990,1,3,6,4833,670,5503,84289,20.5,8.9,41,False,False,789,sin_control,False,False,13
59,9990,0,3,7,5195,668,5863,89333,21.3,8.3,45,False,False,789,sin_control,False,False,13
60,9990,0,2,8,5644,639,6283,92607,20.0,18.6,54,False,False,789,sin_control,False,False,13
61,9990,0,1,9,6034,631,6665,95148,20.5,8.3,56,False,False,789,sin_control,False,False,13
62,9990,0,1,9,6409,634,7043,103425,20.6,5.0,50,False,False,789,sin_control,False,False,13
63,9990,0,1,9,6965,638,7603,111552,21.6,0.8,47,False,False,789,sin_control,False,False,13
64,9990,0,1,9,7491,628,8119,121591,20.7,5.1,49,False,False,789,sin_control,False,False,13
65,9990,0,1,9,6941,575,7516,127963,20.2,14.0,32,False,False,789,sin_control,False,False,13
66,9990,0,1,9,7433,569,8002,133614,20.4,3.3,28,False,False,789,sin_control,False,False,13
67,9990,0,0,10,7972,583,8555,140633,21.8,0.0,24,False,False,789,sin_control,False,False,13
68,9990,0,0,10,8477,584,9061,147197,21.1,0.0,15,False,False,789,sin_control,False,False,13
69,9990,0,0,10,8876,594,9470,153756,22.1,4.1,11,False,False,789,sin_control,False,False,13
70,9990,0,0,10,9402,584,9986,161760,21.1,11.0,14,False,False,789,sin_control,False,False,13
71,9990,0,0,10,9920,593,10513,169974,21.4,0.8,14,False,False,789,sin_control,False,False,13
