,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,LSM_Activo,ITN_IRS_Activo
0,95,0,5,0,198,2,200,50,25.0,0.0,False,False
1,95,0,5,0,197,3,200,150,24.007466834653233,0.0,False,False
2,95,0,5,0,196,4,200,250,23.957673624167896,0.0,False,False
3,95,0,5,0,196,4,200,550,23.179516323038197,10.483587936108663,False,False
4,95,0,5,0,196,4,200,750,23.240848439061462,0.0,False,False
5,95,0,5,0,195,5,200,1050,23.267476614127247,8.675213760197343,False,False
6,95,0,0,5,195,5,200,1350,22.729570171093812,48.452010355506246,False,False
7,95,0,0,5,195,5,200,1550,21.93214950230925,0.0,False,False
8,95,0,0,5,195,5,200,1850,22.418690836473417,0.0,False,False
9,95,0,0,5,195,5,200,1950,25.75516596560126,18.829161931732383,False,False
10,95,0,0,5,195,5,200,2550,21.581473441947686,0.0,False,False
11,94,1,0,5,195,5,200,2650,23.58432429112917,0.0,False,False
12,93,2,0,5,195,5,200,3350,23.935111548130884,15.517668216353808,False,False
13,93,2,0,5,195,5,200,3450,23.501133473676816,7.293078841849993,False,False
14,93,2,0,5,195,5,200,4150,24.776392520499623,0.0,False,False
15,93,2,0,5,195,5,200,4650,23.8667758912114,0.0,False,False
16,93,0,2,5,195,5,200,5050,24.404963690939475,0.0,False,False
17,93,0,2,5,194,6,200,5550,25.12865239166427,20.37077690666711,False,False
18,93,0,2,5,194,6,200,6050,25.010632349084894,30.80761026217587,False,False
19,93,0,2,5,194,6,200,6550,22.906614877644973,0.0,False,False
20,93,0,2,5,194,6,200,6750,24.773481883696302,0.0,False,False
21,93,0,2,5,194,6,200,7250,23.90597062865898,0.0,False,False
22,93,0,0,7,194,6,200,7550,22.216820480268293,31.17096807448486,False,False
23,93,0,0,7,194,6,200,8050,23.111669577271297,0.0,False,False
24,93,0,0,7,194,6,200,8350,23.01417610579365,0.0,False,False
25,93,0,0,7,194,6,200,8950,23.424134461353358,39.52176885026587,False,False
26,93,0,0,7,194,6,200,9250,24.45557915518067,0.0,False,False
27,93,0,0,7,194,6,200,9850,23.88197400002691,0.0,False,False
28,93,0,0,7,194,6,200,10150,25.19401926312751,0.0,False,False
29,93,0,0,7,194,6,200,10650,23.283527719035284,27.61238039686866,False,False
30,93,0,0,7,194,6,200,10950,22.97503365714916,0.0,False,False
