,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,LSM_Activo,ITN_IRS_Activo
88,91,0,0,9,194,6,200,9750,23.440227904004438,0.0,False,False
89,91,0,0,9,194,6,200,9750,26.22482440184732,43.61776636879849,False,False
90,91,0,0,9,194,6,200,9750,25.034781552290067,0.0,False,False
91,91,0,0,9,194,6,200,9750,24.863903070610682,6.452718026690665,False,False
92,91,0,0,9,194,6,200,9750,24.69423465587288,0.0,False,False
93,91,0,0,9,194,6,200,9750,24.82047085914862,0.0,False,False
94,91,0,0,9,194,6,200,9750,23.249261487735318,0.0,False,False
95,91,0,0,9,194,6,200,9750,23.118406097087867,32.19536535262537,False,False
96,91,0,0,9,194,6,200,9750,25.821512008645854,25.07868512168436,False,False
97,91,0,0,9,194,6,200,9750,25.384314190885192,0.0,False,False
98,91,0,0,9,194,6,200,9750,24.505868630856018,25.38519804800971,False,False
99,91,0,0,9,194,6,200,9750,25.5258601204151,0.0,False,False
100,91,0,0,9,194,6,200,9750,24.74081538196551,0.0,False,False
