,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,LSM_Activo,ITN_IRS_Activo
0,95,0,5,0,198,2,200,50,25.0,0.0,False,False
1,95,0,5,0,197,3,200,150,24.03911750264257,0.0,False,False
2,95,0,5,0,197,3,200,150,21.497340022558813,0.0,False,False
3,95,0,5,0,196,4,200,350,24.489123084481935,43.22301110477809,False,False
4,94,1,5,0,196,4,200,550,22.084399698543933,0.0,False,False
5,94,1,5,0,195,5,200,650,22.904104828389737,0.0,False,False
6,94,1,0,5,195,5,200,850,22.58013945620001,40.17197226308476,False,False
7,94,1,0,5,195,5,200,1250,21.417074049083695,0.0,False,False
8,94,1,0,5,195,5,200,1550,21.218874330148086,0.0,False,False
9,93,1,1,5,195,5,200,1850,21.8307819428413,36.2133076116925,False,False
10,93,1,1,5,195,5,200,2150,22.956192107134797,19.597142455322988,False,False
11,93,1,1,5,195,5,200,2650,23.60126612822968,35.93247640364678,False,False
12,93,1,1,5,195,5,200,2950,23.38796655517447,0.0,False,False
13,93,1,1,5,195,5,200,3450,22.92585120530619,0.0,False,False
14,93,0,2,5,194,6,200,3850,23.761546452125682,0.0,False,False
15,93,0,1,6,194,6,200,4350,23.785081307265983,24.930348045814362,False,False
16,92,1,1,6,194,6,200,4650,24.783828508525584,0.0,False,False
17,92,1,1,6,194,6,200,5050,23.92219887383345,0.0,False,False
18,92,1,1,6,194,6,200,5250,24.12045478543743,0.0,False,False
19,91,2,1,6,194,6,200,5650,24.508429429891834,0.0,False,False
20,91,2,0,7,194,6,200,5950,23.148040160561393,0.0,False,False
21,91,1,1,7,194,6,200,6250,25.4295817195962,0.0,False,False
22,91,1,1,7,194,6,200,6550,25.076030019519642,0.0,False,False
23,91,1,1,7,194,6,200,6750,24.402924163507755,0.0,False,False
24,91,0,2,7,194,6,200,7050,26.42060118421485,17.143464803628937,False,False
25,91,0,2,7,194,6,200,7150,24.20714497217789,0.0,False,False
26,91,0,2,7,194,6,200,7550,24.086609791196718,0.0,False,False
27,91,0,1,8,194,6,200,7750,23.789694374474806,0.0,False,False
28,91,0,1,8,194,6,200,8150,24.752173135338502,0.0,False,False
29,91,0,1,8,194,6,200,8350,23.500449813479968,6.738411960094652,False,False
30,91,0,0,9,194,6,200,8750,23.57427002858371,0.0,False,False
31,91,0,0,9,194,6,200,8850,24.21246779060764,0.0,False,False
32,91,0,0,9,194,6,200,8950,23.65347756184963,12.538841821337401,False,False
33,91,0,0,9,194,6,200,9050,25.00168887004367,0.0,False,False
34,91,0,0,9,194,6,200,9150,23.543018220554725,0.0,False,False
35,91,0,0,9,194,6,200,9250,24.6931672379733,0.0,False,False
36,91,0,0,9,194,6,200,9350,22.663551112501928,0.0,False,False
37,91,0,0,9,194,6,200,9450,25.419482012883144,20.861938475482212,False,False
38,91,0,0,9,194,6,200,9650,24.985866997310215,24.964138938545037,False,False
39,91,0,0,9,194,6,200,9650,24.198921215295346,31.185855015990004,False,False
40,91,0,0,9,194,6,200,9750,22.949761472555736,0.0,False,False
41,91,0,0,9,194,6,200,9750,24.94393239846578,0.0,False,False
42,91,0,0,9,194,6,200,9750,25.245286417385387,0.0,False,False
43,91,0,0,9,194,6,200,9750,25.358884771355026,0.0,False,False
44,91,0,0,9,194,6,200,9750,22.840915351504005,0.0,False,False
45,91,0,0,9,194,6,200,9750,23.601832587406467,0.0,False,False
46,91,0,0,9,194,6,200,9750,25.54102091531274,0.0,False,False
47,91,0,0,9,194,6,200,9750,25.957000369227313,0.0,False,False
48,91,0,0,9,194,6,200,9750,24.564743155303333,44.502732524581965,False,False
49,91,0,0,9,194,6,200,9750,25.966410954430398,30.307122431114866,False,False
50,91,0,0,9,194,6,200,9750,25.384891026406663,0.0,False,False
51,91,0,0,9,194,6,200,9750,24.70334038816821,0.0,False,False
52,91,0,0,9,194,6,200,9750,26.077752923591923,0.0,False,False
53,91,0,0,9,194,6,200,9750,26.23692913658998,20.299607420759912,False,False
54,91,0,0,9,194,6,200,9750,27.092447968474875,47.773852780344086,False,False
55,91,0,0,9,194,6,200,9750,24.784801880548756,36.92910983639553,False,False
56,91,0,0,9,194,6,200,9750,25.465592761410207,0.0,False,False
57,91,0,0,9,194,6,200,9750,25.02873384942536,0.0,False,False
58,91,0,0,9,194,6,200,9750,25.653879846172973,17.6847070491527,False,False
59,91,0,0,9,194,6,200,9750,24.31104044801889,0.0,False,False
60,91,0,0,9,194,6,200,9750,24.6764736204939,0.0,False,False
61,91,0,0,9,194,6,200,9750,24.906897621156826,0.0,False,False
62,91,0,0,9,194,6,200,9750,24.656776286769936,0.0,False,False
63,91,0,0,9,194,6,200,9750,24.42094371853304,30.01455271301931,False,False
64,91,0,0,9,194,6,200,9750,25.102825324095377,0.0,False,False
65,91,0,0,9,194,6,200,9750,25.310085188047612,0.0,False,False
66,91,0,0,9,194,6,200,9750,24.19002865578356,12.574714567029751,False,False
67,91,0,0,9,194,6,200,9750,24.767490657846878,19.493822137221255,False,False
68,91,0,0,9,194,6,200,9750,24.823687200810596,0.0,False,False
69,91,0,0,9,194,6,200,9750,23.979767328511954,0.0,False,False
70,91,0,0,9,194,6,200,9750,22.72173775135452,0.0,False,False
71,91,0,0,9,194,6,200,9750,25.53540065380872,0.0,False,False
72,91,0,0,9,194,6,200,9750,25.356678922614222,48.73123577596209,False,False
73,91,0,0,9,194,6,200,9750,25.219587169711588,0.0,False,False
74,91,0,0,9,194,6,200,9750,25.680197485634068,0.0,False,False
75,91,0,0,9,194,6,200,9750,25.27337056147763,0.0,False,False
76,91,0,0,9,194,6,200,9750,25.10469916398995,0.0,False,False
77,91,0,0,9,194,6,200,9750,25.488648354061194,47.73161657724702,False,False
78,91,0,0,9,194,6,200,9750,24.609895937414027,0.0,False,False
79,91,0,0,9,194,6,200,9750,25.25463097872089,0.0,False,False
80,91,0,0,9,194,6,200,9750,22.761293242961916,9.8886713893551,False,False
81,91,0,0,9,194,6,200,9750,23.47338467612952,41.08808630906156,False,False
82,91,0,0,9,194,6,200,9750,24.694750117902533,0.0,False,False
83,91,0,0,9,194,6,200,9750,24.140285496759297,0.0,False,False
84,91,0,0,9,194,6,200,9750,25.87046833645031,0.0,False,False
85,91,0,0,9,194,6,200,9750,25.966488444691333,0.0,False,False
86,91,0,0,9,194,6,200,9750,23.534151518873383,0.0,False,False
87,91,0,0,9,194,6,200,9750,25.05921935240813,0.0,False,False
