,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
0,9998,0,2,0,2000,3000,5000,2000,25.0,0.0,0,False,False,42,itn_irs,False,True,3
1,9998,0,2,0,1856,2786,4642,16636,21.5,2.3,0,False,True,42,itn_irs,False,True,3
2,9998,0,2,0,1571,2370,3941,24260,22.3,0.0,0,False,True,42,itn_irs,False,True,3
3,9997,1,2,0,1330,2017,3347,25687,22.3,0.0,0,False,True,42,itn_irs,False,True,3
4,9997,1,2,0,1128,1722,2850,26194,21.8,0.0,0,False,True,42,itn_irs,False,True,3
5,9996,2,2,0,964,1470,2434,24348,21.6,0.0,0,False,True,42,itn_irs,False,True,3
6,9996,2,2,0,810,1225,2035,21429,19.5,0.2,0,False,True,42,itn_irs,False,True,3
7,9996,1,3,0,662,1045,1707,18710,20.1,1.7,0,False,True,42,itn_irs,False,True,3
8,9996,1,1,2,577,899,1476,16162,21.8,0.3,0,False,True,42,itn_irs,False,True,3
9,9995,1,2,2,489,748,1237,14264,21.7,0.0,0,False,True,42,itn_irs,False,True,3
10,9995,1,2,2,407,629,1036,12667,21.0,0.0,0,False,True,42,itn_irs,False,True,3
11,9995,1,2,2,349,532,881,11142,19.8,7.2,3,False,True,42,itn_irs,False,True,3
12,9995,1,2,2,296,451,747,11271,21.2,8.0,7,False,True,42,itn_irs,False,True,3
13,9995,0,3,2,257,370,627,10329,20.1,5.1,9,False,True,42,itn_irs,False,True,3
14,9995,0,3,2,219,319,538,9782,20.6,3.5,9,False,True,42,itn_irs,False,True,3
15,9995,0,2,3,188,270,458,9517,21.0,1.7,9,False,True,42,itn_irs,False,True,3
16,9995,0,2,3,204,238,442,9419,20.8,3.8,9,False,True,42,itn_irs,False,True,3
17,9995,0,1,4,209,215,424,9418,21.9,0.5,9,False,True,42,itn_irs,False,True,3
18,9995,0,1,4,221,192,413,8504,21.3,0.3,9,False,True,42,itn_irs,False,True,3
19,9995,0,1,4,248,163,411,7579,21.9,0.1,6,False,True,42,itn_irs,False,True,3
20,9995,0,1,4,259,149,408,5961,24.0,0.0,2,False,True,42,itn_irs,False,True,3
21,9995,0,0,5,318,138,456,5129,23.1,0.3,0,False,True,42,itn_irs,False,True,3
22,9995,0,0,5,313,123,436,4311,21.4,1.6,0,False,True,42,itn_irs,False,True,3
23,9995,0,0,5,309,116,425,4417,22.8,0.0,0,False,True,42,itn_irs,False,True,3
24,9995,0,0,5,305,113,418,4160,21.2,3.8,0,False,True,42,itn_irs,False,True,3
25,9995,0,0,5,286,108,394,3917,22.3,0.0,0,False,True,42,itn_irs,False,True,3
26,9995,0,0,5,255,185,440,4435,22.4,52.3,26,False,True,42,itn_irs,False,True,3
27,9996,0,0,4,236,162,398,5023,22.4,0.0,26,False,True,42,itn_irs,False,True,3
28,9996,0,0,4,219,156,375,5616,21.3,24.9,38,False,True,42,itn_irs,False,True,3
29,9996,0,0,4,201,134,335,5921,21.2,0.0,38,False,True,42,itn_irs,False,True,3
30,9996,0,0,4,189,118,307,6036,19.9,8.1,42,False,True,42,itn_irs,False,True,3
31,9995,1,0,4,174,103,277,6003,21.1,0.0,42,False,True,42,itn_irs,False,True,3
32,9995,1,0,4,183,88,271,5802,21.1,0.4,42,False,True,42,itn_irs,False,True,3
33,9995,1,0,4,164,76,240,5705,23.0,0.0,42,False,True,42,itn_irs,False,True,3
34,9995,1,0,4,152,69,221,5482,22.4,0.0,16,False,True,42,itn_irs,False,True,3
35,9995,0,1,4,167,65,232,5010,21.6,9.9,20,False,True,42,itn_irs,False,True,3
36,9995,0,1,4,174,52,226,4498,21.2,0.8,8,False,True,42,itn_irs,False,True,3
37,9995,0,1,4,234,139,373,4964,20.1,50.0,33,False,True,42,itn_irs,False,True,3
38,9995,0,1,4,271,125,396,5814,19.9,7.5,32,False,True,42,itn_irs,False,True,3
39,9995,0,1,4,230,111,341,6175,19.6,21.2,42,False,True,42,itn_irs,False,True,3
40,9995,0,1,4,290,98,388,6608,21.3,0.0,42,False,True,42,itn_irs,False,True,3
41,9995,0,1,4,305,99,404,7135,21.0,2.4,42,False,True,42,itn_irs,False,True,3
42,9995,0,1,4,333,100,433,7187,22.8,0.0,42,False,True,42,itn_irs,False,True,3
43,9995,0,0,5,443,97,540,7560,22.9,0.0,38,False,True,42,itn_irs,False,True,3
44,9995,0,0,5,463,84,547,7841,20.7,5.5,40,False,True,42,itn_irs,False,True,3
45,9995,0,0,5,468,81,549,8279,21.7,2.0,15,False,True,42,itn_irs,False,True,3
46,9995,0,0,5,463,73,536,7952,21.2,1.0,12,False,True,42,itn_irs,False,True,3
47,9995,0,0,5,451,63,514,7702,23.2,0.0,2,False,True,42,itn_irs,False,True,3
48,9995,0,0,5,415,54,469,7142,22.7,7.2,5,False,True,42,itn_irs,False,True,3
49,9995,0,0,5,402,50,452,6981,21.7,2.0,5,False,True,42,itn_irs,False,True,3
